(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-3098-MONOMER	nitrogen-containing compound degradation protein	G1G01-3098	CCI-CYTOSOL-GN
G1G01-5171-MONOMER	cobalt-precorrin-6A synthase	G1G01-5171	
G1G01-3435-MONOMER	ABC transporter substrate-binding protein	G1G01-3435	CCI-PM-BAC-NEG-GN
G1G01-1856-MONOMER	class 2 fumarate hydratase	G1G01-1856	CCI-CYTOSOL-GN
G1G01-551-MONOMER	hypothetical protein	G1G01-551	CCI-CYTOSOL-GN
G1G01-3774-MONOMER	transcriptional regulator	G1G01-3774	CCI-CYTOSOL-GN
G1G01-205-MONOMER	uroporphyrinogen-III synthase	G1G01-205	
G1G01-642-MONOMER	adenosine deaminase	G1G01-642	CCI-CYTOSOL-GN
G1G01-411-MONOMER	coenzyme PQQ synthesis protein E	G1G01-411	CCI-CYTOSOL-GN
G1G01-988-MONOMER	cyclic-guanylate-specific phosphodiesterase	G1G01-988	CCI-PM-BAC-NEG-GN
G1G01-2402-MONOMER	Cro/CI family transcriptional regulator	G1G01-2402	
G1G01-4456-MONOMER	2-oxoglutarate dehydrogenase subunit E1	G1G01-4456	CCI-CYTOSOL-GN
G1G01-2747-MONOMER	quercetin 2,3-dioxygenase	G1G01-2747	CCI-CYTOSOL-GN
G1G01-1148-MONOMER	glycerol kinase	G1G01-1148	CCI-CYTOSOL-GN
G1G01-4804-MONOMER	septation protein A	G1G01-4804	CCI-PM-BAC-NEG-GN
G1G01-1495-MONOMER	SAM-dependent methyltransferase	G1G01-1495	
G1G01-3083-MONOMER	glutamine--tRNA ligase	G1G01-3083	CCI-CYTOSOL-GN
G1G01-5157-MONOMER	tRNA dihydrouridine synthase DusB	G1G01-5157	CCI-CYTOSOL-GN
G1G01-3420-MONOMER	monooxygenase	G1G01-3420	CCI-CYTOSOL-GN
G1G01-1841-MONOMER	beta (1-6) glucans synthase	G1G01-1841	CCI-PM-BAC-NEG-GN
G1G01-5496-MONOMER	hypothetical protein	G1G01-5496	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-376-MONOMER	lipopolysaccharide glucosyltransferase I	G1G01-376	CCI-CYTOSOL-GN
G1G01-2035-MONOMER	hypothetical protein	G1G01-2035	CCI-CYTOSOL-GN
G1G01-628-MONOMER	putative Methyltransferase	G1G01-628	CCI-CYTOSOL-GN
G1G01-4096-MONOMER	inner membrane protein	G1G01-4096	CCI-PM-BAC-NEG-GN
G1G01-973-MONOMER	ferredoxin reductase	G1G01-973	CCI-CYTOSOL-GN
G1G01-2389-MONOMER	hypothetical protein	G1G01-2389	CCI-PERI-BAC-GN
G1G01-4440-MONOMER	3R-3-hydroxydecanoyl-ACP dehydratase	G1G01-4440	CCI-CYTOSOL-GN
G1G01-2732-MONOMER	hypothetical protein	G1G01-2732	CCI-CYTOSOL-GN
G1G01-1133-MONOMER	glutamate synthase large subunit	G1G01-1133	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-4789-MONOMER	acyl-CoA synthetase	G1G01-4789	CCI-CYTOSOL-GN
G1G01-1480-MONOMER	hypothetical protein	G1G01-1480	
G1G01-3069-MONOMER	transmembrane regulator PrtR	G1G01-3069	CCO-MEMBRANE
G1G01-5142-MONOMER	membrane-bound lytic murein transglycosylase B	G1G01-5142	CCI-PM-BAC-NEG-GN
G1G01-3406-MONOMER	protein Pet18	G1G01-3406	
G1G01-1827-MONOMER	ABC transporter substrate-binding protein	G1G01-1827	
G1G01-5481-MONOMER	ABC transporter permease	G1G01-5481	CCI-PM-BAC-NEG-GN
G1G01-3745-MONOMER	glyoxalase family protein	G1G01-3745	CCI-CYTOSOL-GN
G1G01-202-MONOMER	argininosuccinate lyase	G1G01-202	CCI-CYTOSOL-GN
G1G01-613-MONOMER	diguanylate cyclase GcbA	G1G01-613	CCI-CYTOSOL-GN
G1G01-4080-MONOMER	cytochrome c family protein	G1G01-4080	CCI-PERI-BAC-GN
G1G01-959-MONOMER	dipeptide ABC transporter substrate-binding protein	G1G01-959	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-237-MONOMER	two-component system response regulator	G1G01-237	CCI-CYTOSOL-GN
G1G01-4426-MONOMER	K+ transporting ATPase subunit KdpB	G1G01-4426	CCI-PM-BAC-NEG-GN
G1G01-2718-MONOMER	glutathione S-transferase family protein	G1G01-2718	CCI-CYTOSOL-GN
G1G01-1119-MONOMER	type II secretion pathway protein XcpQ	G1G01-1119	CCI-OUTER-MEM-GN
G1G01-4773-MONOMER	carbon storage regulator	G1G01-4773	CCI-CYTOSOL-GN
G1G01-1466-MONOMER	4-hydroxybenzoate transporter	G1G01-1466	CCI-PM-BAC-NEG-GN
G1G01-3054-MONOMER	hypothetical protein	G1G01-3054	
G1G01-5128-MONOMER	transposase	G1G01-5128	CCI-CYTOSOL-GN
G1G01-3391-MONOMER	hypothetical protein	G1G01-3391	CCI-CYTOSOL-GN
G1G01-1812-MONOMER	AraC family transcriptional regulator	G1G01-1812	CCI-CYTOSOL-GN
G1G01-5465-MONOMER	hypothetical protein	G1G01-5465	
G1G01-373-MONOMER	glutamate-ammonia-ligase adenylyltransferase	G1G01-373	CCI-CYTOSOL-GN
G1G01-2004-MONOMER	glutathione S-transferase	G1G01-2004	CCI-CYTOSOL-GN
G1G01-6-MONOMER	membrane protein insertase	G1G01-6	CCI-PM-BAC-NEG-GN
G1G01-4066-MONOMER	antibiotic synthesis protein MbtH	G1G01-4066	
G1G01-944-MONOMER	osmoprotectant ABC transporter permease	G1G01-944	CCI-PM-BAC-NEG-GN
G1G01-2355-MONOMER	type II 3-hydroxyacyl-CoA dehydrogenase	G1G01-2355	CCI-CYTOSOL-GN
G1G01-4411-MONOMER	hydroxyacylglutathione hydrolase	G1G01-4411	CCI-CYTOSOL-GN
G1G01-2701-MONOMER	porin-like protein	G1G01-2701	CCI-OUTER-MEM-GN
G1G01-1104-MONOMER	IMP dehydrogenase and single strand DNA binding factor	G1G01-1104	CCI-CYTOSOL-GN
G1G01-4752-MONOMER	carbon-nitrogen hydrolase family protein	G1G01-4752	CCI-CYTOSOL-GN
G1G01-1451-MONOMER	pyruvate kinase II	G1G01-1451	CCI-CYTOSOL-GN
G1G01-3039-MONOMER	nicotinamide mononucleotide transporter	G1G01-3039	CCI-PM-BAC-NEG-GN
G1G01-5113-MONOMER	AsnC family transcriptional regulator	G1G01-5113	CCI-CYTOSOL-GN
G1G01-3377-MONOMER	hypothetical protein	G1G01-3377	CCI-PM-BAC-NEG-GN
G1G01-1794-MONOMER	transcriptional regulator, GntR family	G1G01-1794	CCI-CYTOSOL-GN
G1G01-5450-MONOMER	inner membrane protein	G1G01-5450	CCI-PM-BAC-NEG-GN
G1G01-3715-MONOMER	hypothetical protein	G1G01-3715	CCO-MEMBRANE
G1G01-1991-MONOMER	membrane protein	G1G01-1991	CCO-MEMBRANE
G1G01-585-MONOMER	ferric siderophore receptor	G1G01-585	CCI-OUTER-MEM-GN
G1G01-4051-MONOMER	hypothetical protein	G1G01-4051	
G1G01-93-MONOMER	stress-induced peroxiredoxin	G1G01-93	CCI-CYTOSOL-GN
G1G01-234-MONOMER	glutarate-semialdehyde dehydrogenase	G1G01-234	CCI-CYTOSOL-GN
G1G01-4398-MONOMER	NADH-quinone oxidoreductase subunit N	G1G01-4398	CCI-PM-BAC-NEG-GN
G1G01-2686-MONOMER	hypothetical protein	G1G01-2686	
G1G01-1090-MONOMER	mannose/glucose ABC transporter permease	G1G01-1090	CCI-PM-BAC-NEG-GN
G1G01-4736-MONOMER	hypothetical protein	G1G01-4736	
G1G01-1436-MONOMER	MutT/nudix family protein/thiamine-phosphate pyrophosphorylase	G1G01-1436	CCI-CYTOSOL-GN
G1G01-3024-MONOMER	urease subunit beta	G1G01-3024	CCI-CYTOSOL-GN
G1G01-5099-MONOMER	histone deacetylase family protein	G1G01-5099	CCI-CYTOSOL-GN
G1G01-3362-MONOMER	LysR family transcriptional regulator	G1G01-3362	CCI-CYTOSOL-GN
G1G01-178-MONOMER	transcriptional regulator	G1G01-178	CCI-CYTOSOL-GN
G1G01-5436-MONOMER	NLP/P60 protein	G1G01-5436	
G1G01-370-MONOMER	sensory box protein	G1G01-370	CCI-PM-BAC-NEG-GN
G1G01-1972-MONOMER	ATP-dependent DEAD-box RNA helicase DeaD	G1G01-1972	CCI-CYTOSOL-GN
G1G01-5778-MONOMER	ATP synthase subunit epsilon	G1G01-5778	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-4034-MONOMER	hypothetical protein	G1G01-4034	CCI-PM-BAC-NEG-GN
G1G01-915-MONOMER	serine acetyltransferase	G1G01-915	CCI-CYTOSOL-GN
G1G01-2324-MONOMER	formate dehydrogenase gamma subunit	G1G01-2324	CCI-CYTOSOL-GN
G1G01-4383-MONOMER	hypothetical protein	G1G01-4383	
G1G01-2671-MONOMER	hypothetical protein	G1G01-2671	CCI-CYTOSOL-GN
G1G01-1076-MONOMER	arginine/ornithine antiporter	G1G01-1076	CCI-PM-BAC-NEG-GN
G1G01-4720-MONOMER	transposase	G1G01-4720	CCI-CYTOSOL-GN
G1G01-1420-MONOMER	D-alanyl-D-alanine-adding enzyme	G1G01-1420	CCI-CYTOSOL-GN
G1G01-3009-MONOMER	GntR family transcriptional regulator	G1G01-3009	CCI-CYTOSOL-GN
G1G01-5084-MONOMER	amino acid ABC transporter permease	G1G01-5084	CCI-PM-BAC-NEG-GN
G1G01-3348-MONOMER	hypothetical protein	G1G01-3348	
G1G01-1764-MONOMER	hypothetical protein	G1G01-1764	
G1G01-5420-MONOMER	L-glutamate synthase &alpha; subunit	G1G01-5420	CCI-CYTOSOL-GN
G1G01-3686-MONOMER	GGDEF domain-containing protein	G1G01-3686	CCI-PM-BAC-NEG-GN
G1G01-1957-MONOMER	enoyl-ACP reductase	G1G01-1957	CCI-CYTOSOL-GN
G1G01-5763-MONOMER	hypothetical protein	G1G01-5763	
G1G01-402-MONOMER	phenylacyl-CoA dehydrogenase monomer	G1G01-402	CCI-CYTOSOL-GN
G1G01-90-MONOMER	hypothetical protein	G1G01-90	
G1G01-2309-MONOMER	transaldolase	G1G01-2309	CCI-CYTOSOL-GN
G1G01-4369-MONOMER	hypothetical protein	G1G01-4369	CCI-CYTOSOL-GN
G1G01-2657-MONOMER	molybdenum cofactor biosynthesis protein A	G1G01-2657	CCI-CYTOSOL-GN
G1G01-1061-MONOMER	glycine dehydrogenase	G1G01-1061	CCI-CYTOSOL-GN
G1G01-4705-MONOMER	HTH-type transcriptional regulator	G1G01-4705	CCI-CYTOSOL-GN
G1G01-1405-MONOMER	cytochrome b	G1G01-1405	CCI-PM-BAC-NEG-GN
G1G01-2996-MONOMER	transcriptional regulator NfxB	G1G01-2996	CCI-CYTOSOL-GN
G1G01-5069-MONOMER	hypothetical protein	G1G01-5069	
G1G01-3333-MONOMER	DNA lesion error-prone processing protein	G1G01-3333	
G1G01-175-MONOMER	ferrioxamine receptor	G1G01-175	CCI-OUTER-MEM-GN
G1G01-5406-MONOMER	choline-responsive transcriptional repressor BetI	G1G01-5406	
G1G01-3670-MONOMER	putative transporter	G1G01-3670	CCI-PM-BAC-NEG-GN
G1G01-1941-MONOMER	ZIP family metal transporter	G1G01-1941	CCI-PM-BAC-NEG-GN
G1G01-5747-MONOMER	hypothetical protein	G1G01-5747	
G1G01-4004-MONOMER	cyanate transporter	G1G01-4004	CCI-PM-BAC-NEG-GN
G1G01-886-MONOMER	cytochrome bo terminal oxidase subunit I	G1G01-886	CCI-PM-BAC-NEG-GN
G1G01-2295-MONOMER	lipoprotein releasing system transmembrane protein LolC	G1G01-2295	CCI-PM-BAC-NEG-GN
G1G01-4349-MONOMER	hypothetical protein	G1G01-4349	
G1G01-2641-MONOMER	phenylalanine--tRNA ligase subunit beta	G1G01-2641	CCI-CYTOSOL-GN
G1G01-1045-MONOMER	hypothetical protein	G1G01-1045	
G1G01-4691-MONOMER	hypothetical protein	G1G01-4691	
G1G01-1391-MONOMER	sulfate adenylyltransferase subunit 1/adenylyl-sulfate kinase	G1G01-1391	CCI-CYTOSOL-GN
G1G01-2722-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-2722	CCI-CYTOSOL-GN
G1G01-2981-MONOMER	gamma-aminobutyraldehyde dehydrogenase	G1G01-2981	CCI-CYTOSOL-GN
G1G01-5050-MONOMER	carbamoyl-phosphate synthase small subunit	G1G01-5050	CCI-CYTOSOL-GN
G1G01-3317-MONOMER	rhs family protein	G1G01-3317	CCO-MEMBRANE
G1G01-1734-MONOMER	diacylglycerol kinase	G1G01-1734	CCI-PM-BAC-NEG-GN
G1G01-5392-MONOMER	two-component system sensory histidine kinase/phosphatase NtrB	G1G01-5392	CCI-PM-BAC-NEG-GN
G1G01-3656-MONOMER	type II secretion pathway protein XcpT	G1G01-3656	CCI-PM-BAC-NEG-GN
G1G01-1927-MONOMER	hypothetical protein	G1G01-1927	
G1G01-5732-MONOMER	hypothetical protein	G1G01-5732	
G1G01-3991-MONOMER	transcriptional regulator VanR	G1G01-3991	CCI-CYTOSOL-GN
G1G01-871-MONOMER	hypothetical protein	G1G01-871	CCI-CYTOSOL-GN
G1G01-2280-MONOMER	DNA topoisomerase I	G1G01-2280	CCI-CYTOSOL-GN
G1G01-4331-MONOMER	methylcrotonyl-CoA carboxylase biotin-containing subunit alpha	G1G01-4331	CCI-CYTOSOL-GN
G1G01-2626-MONOMER	D-ribose ABC transporter permease	G1G01-2626	CCI-PM-BAC-NEG-GN
G1G01-1030-MONOMER	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase	G1G01-1030	CCI-CYTOSOL-GN
G1G01-4676-MONOMER	MFS transporter	G1G01-4676	CCI-PM-BAC-NEG-GN
G1G01-1377-MONOMER	polysaccharide deacetylase family protein	G1G01-1377	
G1G01-2966-MONOMER	hypothetical protein	G1G01-2966	
G1G01-5034-MONOMER	ribosome-binding factor A	G1G01-5034	CCI-CYTOSOL-GN
G1G01-3302-MONOMER	hypothetical protein	G1G01-3302	
G1G01-1717-MONOMER	5'-nucleotidase SurE	G1G01-1717	CCI-CYTOSOL-GN
G1G01-5378-MONOMER	urocanate hydratase	G1G01-5378	CCI-CYTOSOL-GN
G1G01-3641-MONOMER	cobalt transporter subunit A	G1G01-3641	CCO-MEMBRANE
G1G01-1911-MONOMER	glucose 6-phosphate isomerase	G1G01-1911	CCI-CYTOSOL-GN
CPLX1G01-88	3-oxoadipate CoA-transferase	G1G01-4217 // G1G01-4216	
G1G01-5717-MONOMER	protein P47K	G1G01-5717	CCI-CYTOSOL-GN
G1G01-3977-MONOMER	acyl-CoA synthetase	G1G01-3977	CCI-CYTOSOL-GN
G1G01-857-MONOMER	hypothetical protein	G1G01-857	
G1G01-2266-MONOMER	lipid kinase	G1G01-2266	CCI-CYTOSOL-GN
G1G01-4317-MONOMER	4-alpha-glucanotransferase	G1G01-4317	CCI-CYTOSOL-GN
G1G01-261-MONOMER	aliphatic sulfonatesABC transporter permease	G1G01-261	CCI-PM-BAC-NEG-GN
G1G01-1016-MONOMER	regulatory protease	G1G01-1016	CCI-CYTOSOL-GN
G1G01-4661-MONOMER	flagellar P-ring protein	G1G01-4661	CCI-PERI-BAC-GN // CCO-CELL-PROJECTION
G1G01-1362-MONOMER	hypothetical protein	G1G01-1362	CCO-MEMBRANE
G1G01-2951-MONOMER	&sigma;<sup>54</sup>-dependent transcriptional regulator	G1G01-2951	CCI-CYTOSOL-GN
G1G01-5019-MONOMER	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	G1G01-5019	CCI-CYTOSOL-GN
G1G01-3288-MONOMER	membrane protein	G1G01-3288	CCI-PM-BAC-NEG-GN
G1G01-1701-MONOMER	lipid-A-disaccharide synthase	G1G01-1701	CCI-CYTOSOL-GN
G1G01-5362-MONOMER	Sec-independent protein translocase protein TatB	G1G01-5362	CCI-PM-BAC-NEG-GN
G1G01-3625-MONOMER	3-hydroxy-3-methylglutaryl-CoA lyase	G1G01-3625	CCI-CYTOSOL-GN
G1G01-1897-MONOMER	hypothetical protein	G1G01-1897	CCI-EXTRACELLULAR-GN
G1G01-5702-MONOMER	pyruvate carboxylase subunit B	G1G01-5702	CCI-CYTOSOL-GN
G1G01-3962-MONOMER	hypothetical protein	G1G01-3962	
G1G01-842-MONOMER	hypothetical protein	G1G01-842	
G1G01-2250-MONOMER	ribosomal large subunit pseudouridine synthase	G1G01-2250	
G1G01-4302-MONOMER	NADP-dependent dihydropyrimidine dehydrogenase subunit	G1G01-4302	CCI-CYTOSOL-GN
G1G01-2596-MONOMER	LysR family transcriptional regulator	G1G01-2596	CCI-CYTOSOL-GN
G1G01-1001-MONOMER	aromatic amino acid transport protein	G1G01-1001	CCI-PM-BAC-NEG-GN
G1G01-4647-MONOMER	flagellar M-ring protein	G1G01-4647	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
G1G01-1348-MONOMER	2-ketoaldonate reductase/hydroxypyruvate/glyoxylate reductase	G1G01-1348	CCI-CYTOSOL-GN
G1G01-2937-MONOMER	hypothetical protein	G1G01-2937	
G1G01-5002-MONOMER	kinase-like domain-containing protein	G1G01-5002	CCI-CYTOSOL-GN
G1G01-3272-MONOMER	peptidyl-prolyl cis-trans isomerase C	G1G01-3272	CCI-CYTOSOL-GN
G1G01-1685-MONOMER	[protein-PII] uridylyltransferase	G1G01-1685	CCI-CYTOSOL-GN
G1G01-5348-MONOMER	poly(R)-3-hydroxyalkanoate polymerase 1	G1G01-5348	CCI-CYTOSOL-GN
G1G01-3610-MONOMER	epimerase	G1G01-3610	CCI-CYTOSOL-GN
G1G01-5689-MONOMER	hypothetical protein	G1G01-5689	
G1G01-3948-MONOMER	hypothetical protein	G1G01-3948	CCI-CYTOSOL-GN
G1G01-827-MONOMER	hypothetical protein	G1G01-827	
G1G01-2236-MONOMER	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))- methyltransferase	G1G01-2236	CCI-CYTOSOL-GN
G1G01-4288-MONOMER	non-heme chloroperoxidase	G1G01-4288	CCI-CYTOSOL-GN
G1G01-4632-MONOMER	flagellar biosynthetic protein FliR	G1G01-4632	CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
G1G01-1332-MONOMER	hypothetical protein	G1G01-1332	
G1G01-2583-MONOMER	membrane protein	G1G01-2583	CCI-PM-BAC-NEG-GN
G1G01-2922-MONOMER	membrane protein	G1G01-2922	CCI-PM-BAC-NEG-GN
G1G01-4985-MONOMER	multifunctional ATP-dependent DNA helicase/dsDNA/ssDNA exonuclease/ssDNA endonuclease	G1G01-4985	CCI-CYTOSOL-GN
G1G01-3257-MONOMER	bacteriophage lysis protein	G1G01-3257	
G1G01-167-MONOMER	succinyl-CoA-glutarate CoA-transferase	G1G01-167	CCI-CYTOSOL-GN
G1G01-5333-MONOMER	signal transduction histidine kinase CheA/CheY-like receiver	G1G01-5333	CCI-CYTOSOL-GN
G1G01-3597-MONOMER	LysR family transcriptional regulator	G1G01-3597	CCI-CYTOSOL-GN
G1G01-5674-MONOMER	4-hydroxybenzoate nonaprenyltransferase	G1G01-5674	CCI-PM-BAC-NEG-GN
G1G01-3933-MONOMER	Cro/CI family transcriptional regulator	G1G01-3933	
G1G01-812-MONOMER	lipid A 3-O-deacylase	G1G01-812	CCI-OUTER-MEM-GN
G1G01-222-MONOMER	dipeptidase	G1G01-222	
G1G01-4273-MONOMER	arginyl-tRNA--protein transferase	G1G01-4273	CCI-CYTOSOL-GN
G1G01-4616-MONOMER	chemotaxis histidine kinase CheA	G1G01-4616	CCI-CYTOSOL-GN
G1G01-1315-MONOMER	putrescine permease	G1G01-1315	CCI-PM-BAC-NEG-GN
G1G01-2568-MONOMER	hypothetical protein	G1G01-2568	
G1G01-2908-MONOMER	C factor cell-cell signaling protein	G1G01-2908	CCI-EXTRACELLULAR-GN
G1G01-4970-MONOMER	zinc metalloprotease	G1G01-4970	CCO-MEMBRANE
G1G01-1655-MONOMER	holin	G1G01-1655	
G1G01-5318-MONOMER	NhaP-type Na+(K+)/H+ antiporter	G1G01-5318	CCI-PM-BAC-NEG-GN
G1G01-3245-MONOMER	tail formation protein	G1G01-3245	CCI-CYTOSOL-GN
G1G01-3582-MONOMER	hypothetical protein	G1G01-3582	
G1G01-566-MONOMER	6,7-dimethyl-8-ribityllumazine synthase	G1G01-566	CCI-CYTOSOL-GN
G1G01-3918-MONOMER	hypothetical protein	G1G01-3918	
G1G01-799-MONOMER	outer membrane lipoprotein LolB	G1G01-799	CCI-OUTER-MEM-GN
G1G01-2205-MONOMER	EmrB/QacA family drug resistance transporter	G1G01-2205	CCI-PM-BAC-NEG-GN
G1G01-4259-MONOMER	xanthine permease	G1G01-4259	CCI-PM-BAC-NEG-GN
G1G01-4601-MONOMER	cytochrome c-type biogenesis protein CcmE	G1G01-4601	CCI-PM-BAC-NEG-GN
G1G01-130-MONOMER	GTP-binding protein	G1G01-130	CCI-CYTOSOL-GN
G1G01-2552-MONOMER	hypothetical protein	G1G01-2552	CCI-CYTOSOL-GN
G1G01-2894-MONOMER	two-component system response regulator	G1G01-2894	CCI-CYTOSOL-GN
G1G01-4956-MONOMER	xanthine/uracil permease family protein	G1G01-4956	CCI-PM-BAC-NEG-GN
G1G01-1640-MONOMER	hypothetical protein	G1G01-1640	
G1G01-5303-MONOMER	diguanylate cyclase/response regulator Rup4959	G1G01-5303	CCI-PM-BAC-NEG-GN
G1G01-3230-MONOMER	holin	G1G01-3230	CCI-PM-BAC-NEG-GN
G1G01-3568-MONOMER	hypothetical protein	G1G01-3568	
G1G01-5645-MONOMER	phosphomannomutase/phosphoglucomutase	G1G01-5645	CCI-CYTOSOL-GN
G1G01-783-MONOMER	NCS1 family transporter	G1G01-783	CCI-PM-BAC-NEG-GN
G1G01-3904-MONOMER	MHS family metabolite MFS transporter	G1G01-3904	CCI-PM-BAC-NEG-GN
G1G01-2191-MONOMER	hypothetical protein	G1G01-2191	
G1G01-4242-MONOMER	hypothetical protein	G1G01-4242	CCI-CYTOSOL-GN
G1G01-1282-MONOMER	potassium transport system protein Kup	G1G01-1282	CCI-PM-BAC-NEG-GN
G1G01-2538-MONOMER	cobalamin-dependent methionine synthase	G1G01-2538	CCI-CYTOSOL-GN
G1G01-288-MONOMER	agmatine deiminase	G1G01-288	CCI-CYTOSOL-GN
G1G01-2742-MONOMER	secretion metalloprotease	G1G01-2742	CCI-PM-BAC-NEG-GN
G1G01-4941-MONOMER	hypothetical protein	G1G01-4941	
G1G01-1625-MONOMER	hypothetical protein	G1G01-1625	CCI-CYTOSOL-GN
G1G01-529-MONOMER	bacterioferritin 1	G1G01-529	CCI-CYTOSOL-GN
G1G01-3216-MONOMER	hypothetical protein	G1G01-3216	CCO-MEMBRANE
G1G01-3551-MONOMER	hypothetical protein	G1G01-3551	
G1G01-5630-MONOMER	hypothetical protein	G1G01-5630	
G1G01-768-MONOMER	hypothetical protein	G1G01-768	
G1G01-3890-MONOMER	LysE family transporter	G1G01-3890	CCI-PM-BAC-NEG-GN
G1G01-2177-MONOMER	LysR family transcriptional regulator	G1G01-2177	CCI-CYTOSOL-GN
G1G01-4227-MONOMER	hypothetical protein	G1G01-4227	
G1G01-1268-MONOMER	two-component system DNA-binding transcriptional regulator	G1G01-1268	CCI-CYTOSOL-GN
G1G01-2523-MONOMER	type I pili subunit CsuA/B	G1G01-2523	CCI-PM-BAC-NEG-GN
G1G01-4576-MONOMER	2-hydroxy-3-oxopropionate reductase	G1G01-4576	CCI-CYTOSOL-GN
G1G01-2865-MONOMER	membrane protein	G1G01-2865	CCI-PM-BAC-NEG-GN
G1G01-4926-MONOMER	hypothetical protein	G1G01-4926	
G1G01-1610-MONOMER	lipoprotein	G1G01-1610	
G1G01-3200-MONOMER	lipopolysaccharide core biosynthesis protein	G1G01-3200	
G1G01-5278-MONOMER	lipid A export ATP-binding/permease MsbA	G1G01-5278	CCI-PM-BAC-NEG-GN
G1G01-3537-MONOMER	hypothetical protein	G1G01-3537	
G1G01-5616-MONOMER	LysR family transcriptional regulator	G1G01-5616	CCI-CYTOSOL-GN
G1G01-753-MONOMER	hypothetical protein	G1G01-753	
G1G01-3876-MONOMER	acyl-CoA dehydrogenase	G1G01-3876	CCI-CYTOSOL-GN
G1G01-2161-MONOMER	hypothetical protein	G1G01-2161	
G1G01-4211-MONOMER	HTH-type transcriptional repressor NicR	G1G01-4211	CCI-CYTOSOL-GN
G1G01-1252-MONOMER	TRAP dicarboxylate transporter subunit DctP	G1G01-1252	CCI-PERI-BAC-GN
G1G01-2508-MONOMER	hypothetical protein	G1G01-2508	
G1G01-4561-MONOMER	GclR transcriptional regulator	G1G01-4561	CCI-CYTOSOL-GN
G1G01-2850-MONOMER	outer membrane protein	G1G01-2850	
G1G01-4911-MONOMER	transposase	G1G01-4911	CCI-CYTOSOL-GN
G1G01-1597-MONOMER	adenylate kinase	G1G01-1597	CCI-CYTOSOL-GN
G1G01-3187-MONOMER	hypothetical protein	G1G01-3187	
G1G01-5262-MONOMER	lipoprotein	G1G01-5262	
G1G01-3522-MONOMER	membrane protein	G1G01-3522	CCI-PM-BAC-NEG-GN
G1G01-5600-MONOMER	AraC family transcriptional regulator	G1G01-5600	CCI-CYTOSOL-GN
G1G01-3861-MONOMER	alcohol dehydrogenase cytochrome c subunit	G1G01-3861	CCI-PM-BAC-NEG-GN
G1G01-2147-MONOMER	hypothetical protein	G1G01-2147	CCI-CYTOSOL-GN
G1G01-740-MONOMER	FecR-like transmembrane sensor 15	G1G01-740	CCI-PERI-BAC-GN // CCO-MEMBRANE
G1G01-4198-MONOMER	putative transporter	G1G01-4198	CCI-PM-BAC-NEG-GN
G1G01-1234-MONOMER	sensory box protein	G1G01-1234	CCI-PM-BAC-NEG-GN
G1G01-2494-MONOMER	GntR family transcriptional regulator	G1G01-2494	CCI-CYTOSOL-GN
G1G01-1230-MONOMER	hypothetical protein	G1G01-1230	CCI-PM-BAC-NEG-GN
G1G01-2491-MONOMER	hypothetical protein	G1G01-2491	CCI-CYTOSOL-GN
G1G01-2752-MONOMER	MHS family metabolite MFS transporter	G1G01-2752	CCI-PM-BAC-NEG-GN
G1G01-4541-MONOMER	nucleoid-associated broad specificity regulator	G1G01-4541	CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
G1G01-2833-MONOMER	Cro/CI family transcriptional regulator	G1G01-2833	
G1G01-4894-MONOMER	hypothetical protein	G1G01-4894	
G1G01-158-MONOMER	hypothetical protein	G1G01-158	
G1G01-317-MONOMER	A/G-specific adenine glycosylase	G1G01-317	CCI-CYTOSOL-GN
G1G01-5245-MONOMER	ribosome biogenesis GTPase RsgA	G1G01-5245	CCI-CYTOSOL-GN
G1G01-3505-MONOMER	ring 1,2-phenylacetyl-CoA epoxidase subunit beta	G1G01-3505	CCI-CYTOSOL-GN
G1G01-5583-MONOMER	hypothetical protein	G1G01-5583	
G1G01-3844-MONOMER	quinone oxidoreductase	G1G01-3844	CCI-CYTOSOL-GN
G1G01-2126-MONOMER	acetyl-CoA carboxylase carboxyltransferase subunit beta	G1G01-2126	CCI-CYTOSOL-GN
G1G01-723-MONOMER	gluconate transporter	G1G01-723	CCI-PM-BAC-NEG-GN
G1G01-418-MONOMER	lysine 2-monooxygenase	G1G01-418	
G1G01-1215-MONOMER	ABC transporter ATP-binding protein	G1G01-1215	CCI-PM-BAC-NEG-GN
G1G01-2476-MONOMER	transcription elongation factor GreB	G1G01-2476	CCI-CYTOSOL-GN
G1G01-4527-MONOMER	hypothetical protein	G1G01-4527	
G1G01-2819-MONOMER	cellulose synthase operon protein C	G1G01-2819	CCI-OUTER-MEM-GN
